Response_ID,Survey_Date,Age_Group,Gender,City_Tier,Location,Annual_Income,Occupation,Purchase_Frequency,Annual_Luxury_Spending,Brand_Loyalty_Score,Interest_Handbags,Interest_Watches,Interest_Jewelry,Interest_Fashion,Interest_Shoes,Interest_Cosmetics,Interest_Fragrances,Total_Categories_Interest,Urgency_Frequency,Online_Shopping_Pct,Gratification_Score,WTP_1Hour_Premium,WTP_Percentage,Service_Interest_Score,Likelihood_to_Use,Predicted_Premium_Spend,Customer_Segment
R0001,2025-11-05,35-44,Female,Tier 2 (Large City),Chicago,$200K-$300K,Healthcare,2-3x/month,$30K-$50K,6,0,1,0,0,1,1,1,4,Every 2-3mo,60,1,64,6.4,7,Very Likely,1920,Aspirational
R0002,2025-10-17,18-24,Other,Tier 1 (Metro),Singapore,$300K-$500K,Finance,Every 2-3mo,$15K-$30K,4,1,0,1,1,0,0,0,3,Every 2-3mo,69,6,64,6.4,6,Likely,384,Aspirational
R0003,2025-10-18,55-64,Male,Tier 1 (Metro),Los Angeles,$200K-$300K,Tech,Every 2-3mo,$15K-$30K,5,0,1,0,0,0,1,0,2,2-4x/year,45,5,74,7.4,7,Very Likely,444,Aspirational
R0004,2025-10-22,35-44,Male,Tier 2 (Large City),Chicago,Under $75K,Healthcare,2-4x/year,<$5K,5,0,0,0,0,1,1,1,3,Yearly,22,6,17,1.7,2,Unlikely,51,Gifter
R0005,2025-10-31,45-54,Female,Tier 1 (Metro),London,$200K-$300K,Finance,2-4x/year,$5K-$15K,4,1,1,0,1,0,1,0,4,2-4x/year,56,8,78,7.8,6,Likely,234,Aspirational
R0006,2025-10-26,45-54,Male,Tier 1 (Metro),London,$300K-$500K,Consulting,Every 2-3mo,$30K-$50K,5,0,0,0,1,0,0,0,1,Yearly,34,5,59,5.9,4,Possibly,354,Affluent Pro
R0007,2025-11-14,35-44,Male,Tier 1 (Metro),London,$200K-$300K,Tech,2-3x/month,$30K-$50K,5,0,1,1,1,1,0,0,4,Monthly,36,4,80,8.0,7,Very Likely,2400,Aspirational
R0008,2025-11-11,25-34,Male,Tier 1 (Metro),Singapore,$125K-$200K,Real Estate,Yearly,$15K-$30K,5,1,0,0,0,1,0,0,2,Monthly,94,6,53,5.3,7,Very Likely,53,Gifter
R0009,2025-10-27,18-24,Female,Tier 1 (Metro),Dubai,$500K-$1M,Healthcare,Monthly,$30K-$50K,8,1,0,0,1,1,0,0,3,Monthly,78,9,127,12.7,8,Definitely,1524,Affluent Pro
R0010,2025-10-22,45-54,Female,Tier 3 (Mid-size City),Geneva,$500K-$1M,Entrepreneur,2-4x/year,$50K-$100K,5,1,0,0,0,0,1,1,3,Every 2-3mo,47,5,60,6.0,6,Likely,180,Affluent Pro
R0011,2025-10-25,45-54,Female,Tier 2 (Large City),Chicago,$125K-$200K,Legal,2-4x/year,$5K-$15K,7,1,0,0,0,0,1,0,2,Every 2-3mo,41,5,32,3.2,5,Likely,96,Gifter
R0012,2025-11-04,45-54,Other,Tier 1 (Metro),Hong Kong,$200K-$300K,Entrepreneur,Monthly,$15K-$30K,7,0,0,0,0,1,0,0,1,Monthly,60,5,88,8.8,8,Definitely,1056,Aspirational
R0013,2025-11-10,45-54,Female,Tier 1 (Metro),Los Angeles,$500K-$1M,Entrepreneur,2-4x/year,$50K-$100K,6,0,1,0,1,0,1,1,4,Rarely,43,6,82,8.2,7,Very Likely,245,Affluent Pro
R0014,2025-10-25,35-44,Female,Tier 1 (Metro),Hong Kong,$200K-$300K,Entrepreneur,Monthly,$15K-$30K,3,1,0,0,0,0,1,0,2,Every 2-3mo,33,4,72,7.2,7,Very Likely,864,Aspirational
R0015,2025-10-30,25-34,Female,Tier 1 (Metro),Singapore,$75K-$125K,Finance,Rarely,<$5K,8,1,1,0,0,1,1,1,5,Multiple/mo,80,7,71,7.1,6,Likely,35,Gifter
R0016,2025-11-14,55-64,Male,Tier 1 (Metro),Hong Kong,$125K-$200K,Real Estate,2-4x/year,$5K-$15K,6,1,1,0,0,0,0,0,2,Rarely,62,5,46,4.6,7,Very Likely,138,Gifter
R0017,2025-11-05,35-44,Female,Tier 3 (Mid-size City),San Francisco,$300K-$500K,Real Estate,Monthly,$15K-$30K,5,1,0,1,0,1,1,0,4,2-4x/year,48,6,58,5.8,5,Likely,696,Aspirational
R0018,2025-11-03,35-44,Female,Tier 2 (Large City),Toronto,$125K-$200K,Tech,Yearly,$15K-$30K,7,0,0,0,0,0,1,0,1,2-4x/year,37,6,16,1.6,4,Possibly,16,Gifter
R0019,2025-10-29,65+,Female,Tier 1 (Metro),Dubai,$1M+,Luxury Retail,Monthly,$250K+,8,1,0,0,1,0,0,0,2,Multiple/mo,77,6,145,14.5,10,Definitely,1739,Ultra-HNW
R0020,2025-10-19,25-34,Male,Tier 2 (Large City),Miami,$125K-$200K,Consulting,Monthly,<$5K,6,1,0,0,1,0,0,0,2,Yearly,54,6,24,2.4,4,Possibly,288,Digital-First
R0021,2025-10-25,25-34,Male,Tier 1 (Metro),Hong Kong,Under $75K,Healthcare,Monthly,<$5K,6,0,1,0,1,1,0,0,3,Yearly,75,6,40,4.0,5,Likely,480,Digital-First
R0022,2025-10-20,65+,Male,Tier 2 (Large City),Sydney,Under $75K,Finance,Every 2-3mo,<$5K,5,0,1,0,0,1,1,0,3,Yearly,77,3,7,0.7,2,Unlikely,41,Digital-First
R0023,2025-10-28,35-44,Male,Tier 1 (Metro),Hong Kong,$1M+,Other,Every 2-3mo,$50K-$100K,6,0,1,1,1,0,0,0,3,Yearly,20,3,97,9.7,9,Definitely,581,Affluent Pro
R0024,2025-11-01,65+,Male,Tier 2 (Large City),Toronto,$125K-$200K,Entrepreneur,2-4x/year,<$5K,5,0,1,1,1,0,0,0,3,Rarely,67,5,15,1.5,1,Unlikely,45,Gifter
R0025,2025-10-18,35-44,Male,Tier 1 (Metro),New York,$300K-$500K,Real Estate,Monthly,$50K-$100K,7,0,1,0,0,0,0,0,1,Monthly,75,8,123,12.3,6,Likely,1476,Affluent Pro
R0026,2025-11-04,65+,Female,Tier 2 (Large City),Toronto,$125K-$200K,Consulting,Every 2-3mo,$5K-$15K,5,1,0,1,0,0,0,0,2,Yearly,46,4,2,0.2,2,Unlikely,12,Digital-First
